Year;Quarter;Month;DayofMonth;DayOfWeek;FlightDate;AirlineID;TailNum;FlightNum;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginStateName;DestAirportID;DestAirportSeqID;DestCityMarketID
2017;4;12;2;6;2017-12-02;20304;N679CA;4571;13342;1334205;33342;Milwaukee, WI;Wisconsin;13487;1348702;31650
2017;4;12;2;6;2017-12-02;20304;N679CA;4571;13487;1348702;31650;Minneapolis, MN;Minnesota;13342;1334205;33342
2017;4;12;2;6;2017-12-02;20304;N774SK;4572;13487;1348702;31650;Minneapolis, MN;Minnesota;11042;1104203;30647
2017;4;12;2;6;2017-12-02;20304;N241SY;4574;14893;1489302;33192;Sacramento, CA;California;14747;1474703;30559
2017;4;12;2;6;2017-12-02;20304;N256SY;4576;14679;1467903;33570;San Diego, CA;California;12889;1288903;32211
2017;4;12;2;6;2017-12-02;20304;N445SW;4577;10990;1099003;30990;Charlottesville, VA;Virginia;10397;1039705;30397
2017;4;12;2;6;2017-12-02;20304;N440SW;4578;10627;1062702;30627;Bismarck/Mandan, ND;North Dakota;13487;1348702;31650
2017;4;12;2;6;2017-12-02;20304;N440SW;4578;13487;1348702;31650;Minneapolis, MN;Minnesota;10627;1062702;30627
2017;4;12;2;6;2017-12-02;20304;N906SW;4579;14457;1445702;34457;Rapid City, SD;South Dakota;13487;1348702;31650
2017;4;12;2;6;2017-12-02;20304;N247SY;4581;14747;1474703;30559;Seattle, WA;Washington;10713;1071302;30713
2017;4;12;2;6;2017-12-02;20304;N910EV;4582;13487;1348702;31650;Minneapolis, MN;Minnesota;11337;1133703;31337
2017;4;12;2;6;2017-12-02;20304;N800SK;4583;13930;1393004;30977;Chicago, IL;Illinois;11433;1143302;31295
2017;4;12;2;6;2017-12-02;20304;N814SK;4584;13487;1348702;31650;Minneapolis, MN;Minnesota;12266;1226603;31453
2017;4;12;2;6;2017-12-02;20304;N814SK;4585;12266;1226603;31453;Houston, TX;Texas;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N803SK;4588;14869;1486903;34614;Salt Lake City, UT;Utah;12954;1295404;32575
2017;4;12;2;6;2017-12-02;20304;N252SY;4589;12892;1289206;32575;Los Angeles, CA;California;14771;1477102;32457
2017;4;12;2;6;2017-12-02;20304;N898SK;4590;10693;1069302;30693;Nashville, TN;Tennessee;11433;1143302;31295
2017;4;12;2;6;2017-12-02;20304;N936EV;4592;14869;1486903;34614;Salt Lake City, UT;Utah;12003;1200303;31895
2017;4;12;2;6;2017-12-02;20304;N602XJ;4593;10469;1046902;30469;Kalamazoo, MI;Michigan;13487;1348702;31650
2017;4;12;2;6;2017-12-02;20304;N448SW;4597;13487;1348702;31650;Minneapolis, MN;Minnesota;13433;1343302;33304
2017;4;12;2;6;2017-12-02;20304;N8942A;4599;10620;1062002;30620;Billings, MT;Montana;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N8942A;4599;14869;1486903;34614;Salt Lake City, UT;Utah;10620;1062002;30620
2017;4;12;2;6;2017-12-02;20304;N763SK;4602;13487;1348702;31650;Minneapolis, MN;Minnesota;11337;1133703;31337
2017;4;12;2;6;2017-12-02;20304;N802SK;4604;14869;1486903;34614;Salt Lake City, UT;Utah;13930;1393004;30977
2017;4;12;2;6;2017-12-02;20304;N427SW;4607;12323;1232303;32323;Wilmington, NC;North Carolina;10397;1039705;30397
2017;4;12;2;6;2017-12-02;20304;N614SK;4608;13232;1323202;30977;Chicago, IL;Illinois;11433;1143302;31295
2017;4;12;2;6;2017-12-02;20304;N815SK;4609;12954;1295404;32575;Long Beach, CA;California;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N815SK;4609;14869;1486903;34614;Salt Lake City, UT;Utah;12954;1295404;32575
2017;4;12;2;6;2017-12-02;20304;N765SK;4610;15041;1504102;35041;Sun Valley/Hailey/Ketchum, ID;Idaho;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N824SK;4611;13487;1348702;31650;Minneapolis, MN;Minnesota;12264;1226402;30852
2017;4;12;2;6;2017-12-02;20304;N443SW;4612;10397;1039705;30397;Atlanta, GA;Georgia;14814;1481402;30476
2017;4;12;2;6;2017-12-02;20304;N809CA;4619;12280;1228002;32280;Idaho Falls, ID;Idaho;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N809CA;4619;14869;1486903;34614;Salt Lake City, UT;Utah;12280;1228002;32280
2017;4;12;2;6;2017-12-02;20304;N693CA;4620;10800;1080003;32575;Burbank, CA;California;14869;1486903;34614
2017;4;12;2;6;2017-12-02;20304;N693CA;4620;14869;1486903;34614;Salt Lake City, UT;Utah;10800;1080003;32575
2017;4;12;2;6;2017-12-02;20304;N774SK;4621;13232;1323202;30977;Chicago, IL;Illinois;13487;1348702;31650
