Year;Quarter;Month;DayofMonth;DayOfWeek;FlightDate;AirlineID;TailNum;FlightNum;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginStateName;DestAirportID;DestAirportSeqID;DestCityMarketID
2017;4;12;1;5;2017-12-01;20304;N945SW;5490;13930;1393004;30977;Chicago, IL;Illinois;11111;1111102;32474
2017;4;12;1;5;2017-12-01;20304;N156SY;5491;14771;1477102;32457;San Francisco, CA;California;13487;1348702;31650
2017;4;12;1;5;2017-12-01;20304;N146SY;5492;11292;1129202;30325;Denver, CO;Colorado;14457;1445702;34457
2017;4;12;1;5;2017-12-01;20304;N915SW;5493;15919;1591902;31834;Fayetteville, AR;Arkansas;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N206SY;5494;14262;1426204;34262;Palm Springs, CA;California;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N929EV;5495;13930;1393004;30977;Chicago, IL;Illinois;15919;1591902;31834
2017;4;12;1;5;2017-12-01;20304;N161SY;5496;14262;1426204;34262;Palm Springs, CA;California;14771;1477102;32457
2017;4;12;1;5;2017-12-01;20304;N135SY;5498;10423;1042302;30423;Austin, TX;Texas;14771;1477102;32457
2017;4;12;1;5;2017-12-01;20304;N901EV;5499;15412;1541203;35412;Knoxville, TN;Tennessee;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N162SY;5500;14869;1486903;34614;Salt Lake City, UT;Utah;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N916SW;5501;11292;1129202;30325;Denver, CO;Colorado;11413;1141304;30285
2017;4;12;1;5;2017-12-01;20304;N948SW;5502;13930;1393004;30977;Chicago, IL;Illinois;11977;1197703;31977
2017;4;12;1;5;2017-12-01;20304;N929EV;5503;15919;1591902;31834;Fayetteville, AR;Arkansas;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N141SY;5504;13264;1326403;33264;Medford, OR;Oregon;14771;1477102;32457
2017;4;12;1;5;2017-12-01;20304;N779SK;5505;14869;1486903;34614;Salt Lake City, UT;Utah;12266;1226603;31453
2017;4;12;1;5;2017-12-01;20304;N939SW;5506;11292;1129202;30325;Denver, CO;Colorado;12992;1299204;32600
2017;4;12;1;5;2017-12-01;20304;N140SY;5507;14771;1477102;32457;San Francisco, CA;California;10800;1080003;32575
2017;4;12;1;5;2017-12-01;20304;N204SY;5508;13930;1393004;30977;Chicago, IL;Illinois;14122;1412202;30198
2017;4;12;1;5;2017-12-01;20304;N945SW;5509;11111;1111102;32474;Columbia, MO;Missouri;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N971SW;5510;13367;1336703;33367;Moline, IL;Illinois;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N788SK;5511;14771;1477102;32457;San Francisco, CA;California;14262;1426204;34262
2017;4;12;1;5;2017-12-01;20304;N780SK;5512;12892;1289206;32575;Los Angeles, CA;California;14107;1410702;30466
2017;4;12;1;5;2017-12-01;20304;N970SW;5513;14893;1489302;33192;Sacramento, CA;California;12892;1289206;32575
2017;4;12;1;5;2017-12-01;20304;N116SY;5514;14689;1468902;34689;Santa Barbara, CA;California;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N593ML;5515;11292;1129202;30325;Denver, CO;Colorado;12389;1238902;32389
2017;4;12;1;5;2017-12-01;20304;N928EV;5516;11977;1197703;31977;Green Bay, WI;Wisconsin;13930;1393004;30977
2017;4;12;1;5;2017-12-01;20304;N937EV;5517;11109;1110902;30189;Colorado Springs, CO;Colorado;11292;1129202;30325
2017;4;12;1;5;2017-12-01;20304;N168SY;5518;13930;1393004;30977;Chicago, IL;Illinois;10693;1069302;30693
2017;4;12;1;5;2017-12-01;20304;N121SY;5519;14683;1468303;33214;San Antonio, TX;Texas;12892;1289206;32575
2017;4;12;1;5;2017-12-01;20304;N946SW;5520;13930;1393004;30977;Chicago, IL;Illinois;12945;1294503;32945
2017;4;12;1;5;2017-12-01;20304;N937EV;5521;11292;1129202;30325;Denver, CO;Colorado;10849;1084903;30849
2017;4;12;1;5;2017-12-01;20304;N869AS;5522;15919;1591902;31834;Fayetteville, AR;Arkansas;13930;1393004;30977
